"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1426416_a_at",-12.3087107676231,12.2001684270018,-18.2131165234316,2.98046905770954e-15,2.58555690756303e-13,22.0083328947865
"1423294_at",-11.1640908161965,10.6898911573965,-18.1539967712426,3.19902201786701e-15,2.72279024954681e-13,21.9601308566575
"1438118_x_at",-11.3313995647224,10.7051280587839,-18.0587203438068,3.58698783554462e-15,2.99646335669292e-13,21.8819479995818
"1438664_at",-10.8840317727004,10.7214538254925,-17.9979565308814,3.859708467946e-15,3.01243299526159e-13,21.8317604930633
"1417462_at",-10.7900095507745,10.4153061132718,-17.9828432734531,3.93083222293467e-15,3.01243299526159e-13,21.8192382201816
"1449127_at",-11.4079451851611,11.0363397732999,-17.982724695571,3.93139561489251e-15,3.01243299526159e-13,21.8191399085622
"1435386_at",-11.3300439451531,11.1127520433113,-17.9815728741966,3.93687256667806e-15,3.01243299526159e-13,21.8181848954719
"1429139_at",-10.5033000291818,10.0500229603723,-17.9351548844525,4.16432854619171e-15,3.01243299526159e-13,21.7796216705428
"1434068_s_at",-11.808347604767,11.6137897247124,-17.922337483734,4.22951421059677e-15,3.01243299526159e-13,21.7689468369146
"1417056_at",-11.1029862834104,10.2249311574063,-17.9168070217338,4.25796748309326e-15,3.01243299526159e-13,21.7643373197486
"1449198_a_at",-11.0497308659735,11.6934516598762,-17.9167649802031,4.25818454035116e-15,3.01243299526159e-13,21.7643022709083
"1420088_at",-12.5889033909714,11.9414909694314,-17.8980646953852,4.3558830880361e-15,3.01243299526159e-13,21.7487001546208
"1459765_s_at",-11.7839333033755,12.0733715643179,-17.8862011144949,4.4190698431788e-15,3.01243299526159e-13,21.7387894216328
"1427918_a_at",-10.0144462510918,9.18367490415151,-17.8849459323109,4.42581062393979e-15,3.01243299526159e-13,21.7377402782095
"1443937_at",-10.1260524634497,8.80862816733045,-17.8832056152739,4.43517445174448e-15,3.01243299526159e-13,21.7362854529034
"1455439_a_at",-11.8111151714559,10.5043282863686,-17.8512409508848,4.6108753800686e-15,3.01243299526159e-13,21.7095267710876
"1454757_s_at",-10.1069687927053,9.45664861279583,-17.8390270140192,4.67990999964138e-15,3.01243299526159e-13,21.6992831754377
"1449323_a_at",-11.8571438554488,12.4870577303902,-17.8345109614166,4.70570672747686e-15,3.01243299526159e-13,21.6954929972787
"1417864_at",-11.7197907272271,10.8917525817275,-17.828845567618,4.73827804819138e-15,3.01243299526159e-13,21.6907361884488
"1450792_at",-13.1211570668144,12.0937697480822,-17.8214432220473,4.78118909984624e-15,3.01243299526159e-13,21.6845175920886
"1416592_at",-10.8796323587149,10.4874933155463,-17.8077466777745,4.86165646384522e-15,3.01243299526159e-13,21.6730011744086
"1416635_at",-11.5480751024852,10.5274872651802,-17.8055118335497,4.8749192785213e-15,3.01243299526159e-13,21.671120805138
"1423722_at",-11.7457276877096,10.9214776494066,-17.7727487935329,5.07373202758076e-15,3.0929196184347e-13,21.6435139870796
"1435712_a_at",-11.9907408035862,12.4779530308489,-17.7568889740623,5.17298395564477e-15,3.11137741652181e-13,21.6301229473568
"1460624_at",-10.8272835919186,11.4769244876882,-17.717489124708,5.42838895163388e-15,3.22203454747637e-13,21.5967790879478
"1423961_at",-12.0486508338585,12.82980393748,-17.6918780252065,5.60141381961406e-15,3.28155555068559e-13,21.5750454561991
"1417379_at",-10.9321728309393,10.5519290215442,-17.6368332578939,5.99298117886566e-15,3.4659407817773e-13,21.5281761199822
