"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1420357_s_at",-1.32555847220345,5.10774764992854,-2.6951457944055,0.0128551974344739,0.949492491176972,-4.45293495281082
"1454685_at",-0.720744141506045,7.33917836262973,-2.42574828575075,0.0234425002749731,0.949492491176972,-4.47928543238811
"1427883_a_at",1.16344504787935,5.44707273621928,2.35505913933314,0.027331480558973,0.949492491176972,-4.48611644769534
"1427820_at",-1.21871980129645,8.18308080248542,-2.28683322135525,0.0316389435989949,0.949492491176972,-4.49266149511698
"1436998_at",-0.96571278475744,5.58641038607533,-2.14680226315636,0.0424759301942757,0.949492491176972,-4.50591353395308
"1427183_at",1.07827205651969,4.07358730005907,2.11432429997953,0.0454258375194891,0.949492491176972,-4.50894647104992
"1419060_at",1.028044560754,8.84843140594968,2.10482440673974,0.0463228064115366,0.949492491176972,-4.50983039880368
"1448416_at",1.04124669300958,5.24986171342318,2.08571017722967,0.0481758118496374,0.949492491176972,-4.51160434370492
"1428010_at",-0.67370701785843,4.24715476762049,-2.07531250048792,0.0492114167488664,0.949492491176972,-4.51256671470008
"1420788_at",0.678737411828187,7.39599517100944,2.06830340446511,0.0499207022469135,0.949492491176972,-4.51321439230247
"1449361_at",0.761372223274003,7.69420797974163,2.04833965413053,0.0519912120371706,0.949492491176972,-4.51505438408575
"1456557_at",-0.633827586606448,3.77377489312449,-1.98526417844289,0.0590442070807818,0.949492491176972,-4.5208193285349
"1457063_at",0.789709443906842,4.98544977770635,1.96006675200262,0.0620904222141762,0.949492491176972,-4.52310059650746
"1416015_s_at",-0.700831899462377,6.74946317884035,-1.95661037413656,0.0625189064687951,0.949492491176972,-4.52341251297118
"1445588_at",-0.623471735597271,5.91318485903751,-1.95407298047774,0.062835121020681,0.949492491176972,-4.52364133964411
"1443284_at",-0.922003609626135,5.83629850765933,-1.9376470623984,0.0649164176817318,0.949492491176972,-4.52511940521317
"1416313_at",-0.660543173303858,6.38396545118321,-1.93552488293223,0.0651896875907454,0.949492491176972,-4.5253099518794
"1417185_at",1.15704685938951,8.97153123419407,1.93522636476555,0.0652282082991263,0.949492491176972,-4.52533674760446
"1456432_at",-0.647709820824967,7.25173762032199,-1.924632835175,0.0666081996992684,0.949492491176972,-4.52628641504515
"1451862_a_at",0.634556571597098,7.68255870370872,1.90992519476984,0.068566556202059,0.949492491176972,-4.52760087171755
"1452114_s_at",0.767798705884967,4.07418068480109,1.90804100684398,0.068821048654135,0.949492491176972,-4.52776892393874
"1449498_at",0.82786180187249,5.78486050492374,1.88829567306104,0.071538102640681,0.949492491176972,-4.52952527834272
"1421802_at",-0.816423742169501,5.73406827073678,-1.87964151353307,0.072758178585133,0.949492491176972,-4.53029230125193
"1455069_x_at",-0.63057936606497,7.93299813961667,-1.87787930304526,0.0730088290818726,0.949492491176972,-4.53044827758632
"1419819_s_at",-0.57199423566994,6.04655451150501,-1.87488353188431,0.0734366642087044,0.949492491176972,-4.53071327505492
"1441153_at",-0.662996841193467,6.23515304625006,-1.87315802349964,0.0736840793320958,0.949492491176972,-4.53086581497256
"1454851_at",-0.762153996171097,8.28480231212062,-1.85748783042813,0.0759644013266392,0.949492491176972,-4.53224794368345
"1433957_at",-0.534211788714657,5.18430186317568,-1.85463831130266,0.0763855898426191,0.949492491176972,-4.5324986573036
"1425247_a_at",-0.827750046195752,7.50917900587743,-1.84995087710676,0.0770828548126198,0.949492491176972,-4.53291066191042
"1428733_at",0.784726845368652,7.3938336733589,1.849097538496,0.0772103833879761,0.949492491176972,-4.5329856105621
"1415904_at",0.701649799986169,7.46413404813501,1.84260513570251,0.0781866611791491,0.949492491176972,-4.53355526993381
"1459362_at",-0.606589512874172,5.16814573330319,-1.83473106171311,0.0793850523850176,0.949492491176972,-4.53424480550683
"1457174_at",-0.721268394200369,5.7109024331356,-1.82935830782825,0.0802118592778769,0.949492491176972,-4.53471444025425
"1417898_a_at",0.877776634583299,10.2621807240503,1.82175494532951,0.0813946621191946,0.949492491176972,-4.53537785233265
"1437584_at",-0.575247711694542,9.28054187769847,-1.81351516626798,0.0826934618279255,0.949492491176972,-4.53609519065934
"1416589_at",0.591251908997337,5.6606412213626,1.80729129241034,0.0836863299288948,0.949492491176972,-4.5366359136278
"1430172_a_at",0.643704045454517,6.28204120080913,1.79660966541123,0.0854142958597684,0.949492491176972,-4.53756166282528
"1441231_at",-0.65021394830782,5.03139169715781,-1.77392646402614,0.0891858632982816,0.949492491176972,-4.53951794782862
"1457769_at",-0.708323775605832,6.55292958969874,-1.75711051356746,0.0920733230675276,0.949492491176972,-4.54095962283195
"1424998_at",0.611446146583175,7.7310368266293,1.72726086570665,0.0973959220565501,0.949492491176972,-4.54350021214392
"1424975_at",-0.570207320694278,4.710836720254,-1.71532043200765,0.0995973083854047,0.949492491176972,-4.54450972721719
"1427870_x_at",-0.582796593122348,8.02510524082112,-1.71495052938552,0.0996661751143217,0.949492491176972,-4.54454093826182
"1417851_at",1.43729554197951,5.41980594193683,1.69625026229789,0.10320079258583,0.949492491176972,-4.54611383324557
"1456685_at",-0.808701579678606,5.39170749910586,-1.69357018894008,0.103715964971849,0.949492491176972,-4.54633845241187
"1439687_at",-0.537342020681886,4.86366995590459,-1.68842768747832,0.10471057084912,0.949492491176972,-4.54676888001605
"1417420_at",0.855467410251395,5.72044295705327,1.67510615628556,0.107324649644338,0.949492491176972,-4.54788038383077
"1422089_at",0.677627386949071,8.35798656125978,1.66913940010899,0.10851324315763,0.949492491176972,-4.5483765742723
"1422601_at",0.607160816957276,8.14489132903435,1.65235467444582,0.111916439797562,0.949492491176972,-4.54976681657859
"1437390_x_at",-0.5244508620124,7.12463893853765,-1.64492970117823,0.113450270644068,0.949492491176972,-4.55037916640781
"1421598_at",-0.548513986167379,6.50866408077253,-1.64472162092174,0.113493508203902,0.949492491176972,-4.55039630357318
"1427202_at",-0.651634608680382,6.31420861322188,-1.63858640656359,0.114774587972145,0.949492491176972,-4.55090101039143
"1449235_at",0.641094029587125,5.88725119827546,1.62979657093072,0.116631075261968,0.949492491176972,-4.55162213229612
"1422957_at",-0.571489999518151,5.66527801895439,-1.6290008382543,0.116800374357662,0.949492491176972,-4.55168729973864
"1439087_a_at",-0.634945761930628,6.60487760555741,-1.62661225116057,0.117309802464693,0.949492491176972,-4.55188280089108
"1436447_at",-0.616832985209189,6.22193831696137,-1.62136768241439,0.118434863251734,0.949492491176972,-4.55231145192751
"1416289_at",0.645096688325468,5.94744364977598,1.6177211457569,0.119222416849718,0.949492491176972,-4.55260899894079
"1455317_at",-0.538443117690862,7.23220788144959,-1.61552294852016,0.119699276975509,0.949492491176972,-4.55278816948548
"1430019_a_at",-0.520520362787284,8.31429686758961,-1.61540714070125,0.119724443514055,0.949492491176972,-4.55279760464511
"1456061_at",-1.00148376259271,8.6066313829049,-1.60654254303887,0.12166397821981,0.949492491176972,-4.55351860436417
"1427384_at",-0.593863616369404,6.27215746153873,-1.60320609387618,0.122400727305826,0.949492491176972,-4.55378934634928
"1438675_at",-0.619797384315961,5.44174262150285,-1.60130842404448,0.1228214220714,0.949492491176972,-4.55394318234472
"1460741_x_at",-0.483339543905378,8.63942060426052,-1.59985763026288,0.123143859820583,0.949492491176972,-4.55406071665709
"1419412_at",0.792227682825555,6.62307734995329,1.5987508588649,0.123390312142673,0.949492491176972,-4.55415033644339
"1426182_a_at",0.447231142067878,5.9817579719443,1.59329933255681,0.124610234308167,0.949492491176972,-4.55459121198642
"1424923_at",1.19095196508519,8.68092268783472,1.59120261996288,0.125082089651017,0.949492491176972,-4.55476053009088
"1456864_at",-0.747181053646984,5.13422911888908,-1.59106284623245,0.125113597764529,0.949492491176972,-4.55477181249741
"1439736_at",-0.739411708202985,5.40478082108421,-1.58652240791072,0.126140703590838,0.949492491176972,-4.55513797915992
"1429399_at",-0.526059371161554,7.8668218896026,-1.58046361438645,0.127522167998337,0.949492491176972,-4.55562558385865
"1460014_at",0.6513330019474,9.04567071702991,1.58035584829979,0.127546852781073,0.949492491176972,-4.55563424625444
"1419873_s_at",0.552175171594358,9.60029765209737,1.57977505409918,0.127679957055425,0.949492491176972,-4.55568092501385
"1424641_a_at",-0.727620871856878,5.37468012562604,-1.57948366099695,0.127746780799448,0.949492491176972,-4.55570434041967
"1453813_at",-0.463949738540441,4.55740742251931,-1.57317448683436,0.129200751905835,0.949492491176972,-4.55621066452755
"1447885_x_at",-0.50609537442691,4.87747673462482,-1.57260552549807,0.129332541596629,0.949492491176972,-4.55625626261141
"1425005_at",0.438490558493482,6.30211768205479,1.56598796502785,0.130873565525844,0.949492491176972,-4.55678585226447
"1424562_a_at",-0.528774204721001,8.4391486900345,-1.56190411947087,0.131832114749016,0.949492491176972,-4.5571119737274
"1455110_at",-0.591343119350592,8.18905141630827,-1.55657761141448,0.13309104063357,0.949492491176972,-4.55753652273827
"1422483_a_at",0.492067509097236,8.75505495027352,1.55067247363474,0.134498297200373,0.949492491176972,-4.55800611845739
"1438076_at",-0.594383339970176,5.14793699346633,-1.54773575869077,0.135202697623312,0.949492491176972,-4.55823923369065
"1423100_at",-0.602219932031385,8.99037119142902,-1.54279083821048,0.13639564562839,0.949492491176972,-4.55863112360075
"1422978_at",0.764103831643824,8.39404002680707,1.54170878070448,0.136657839925365,0.949492491176972,-4.55871677105749
"1418243_at",0.880861642888384,5.7834807616201,1.53898723128122,0.137319132903629,0.949492491176972,-4.55893201845604
"1419476_at",0.423423287421978,6.07247402696379,1.52678281468385,0.140317008422099,0.949492491176972,-4.55989426377712
"1429379_at",0.664904835631806,6.15075361733252,1.52209590128851,0.141482460006847,0.949492491176972,-4.56026248646952
"1416239_at",0.690881729140737,7.94475773129767,1.52073350456465,0.141822717440218,0.949492491176972,-4.56036938444764
"1456071_a_at",0.477148347693515,10.5276997549205,1.51750318802865,0.142632162976147,0.949492491176972,-4.56062259739685
"1437303_at",-0.549064229339356,6.60300341404522,-1.51415157631346,0.14347599199051,0.949492491176972,-4.56088494868415
"1448859_at",0.630410901088421,7.44675352857093,1.51286781531059,0.143800280831942,0.949492491176972,-4.56098533664452
"1418555_x_at",0.494764011952213,5.07903419036132,1.511404977221,0.144170535725505,0.949492491176972,-4.5610996605492
"1419905_s_at",0.743623802398839,5.02455064841259,1.51136444905761,0.144180804770937,0.949492491176972,-4.56110282688555
"1435465_at",-0.748726406160579,9.70794731243304,-1.50452668952773,0.145921929265293,0.949492491176972,-4.56163624556374
"1417314_at",1.46689184956943,7.54793082667236,1.49581733099497,0.148164412064652,0.949492491176972,-4.56231337361652
"1426641_at",-0.604902842435554,5.24276766916339,-1.4939027893661,0.14866110994006,0.949492491176972,-4.56246187727
"1439790_at",0.557936784820271,5.53450196253175,1.49259037548983,0.149002377112514,0.949492491176972,-4.56256360377519
"1417009_at",0.723973352953522,6.13360372490527,1.49215777140178,0.149115006741615,0.949492491176972,-4.56259712242835
"1436779_at",0.613998663590007,10.1224575984234,1.49167673564884,0.149240326965639,0.949492491176972,-4.5626343860949
"1450753_at",0.4255418595911,9.44608485752171,1.49044854687141,0.14956068520631,0.949492491176972,-4.56272949235726
"1451548_at",1.00136240336236,3.01852472053165,1.486684834747,0.150545886539498,0.949492491176972,-4.56302061742876
"1437901_a_at",-0.472782476972388,6.01539901882975,-1.48549825908219,0.150857579050075,0.949492491176972,-4.56311229867436
"1422628_at",-0.611883412966391,7.72812291290827,-1.48439041248139,0.151149063618863,0.949492491176972,-4.56319785310774
"1417071_s_at",0.585049507756761,6.71687913432102,1.48374551158795,0.151318953364956,0.949492491176972,-4.56324763666481
"1440842_at",-0.758268158774736,5.94310060814894,-1.48128923841924,0.15196744249498,0.949492491176972,-4.56343711885651
"1418992_at",0.85308396670111,5.83390578504331,1.48028721748021,0.152232636117346,0.949492491176972,-4.56351435703029
"1418345_at",0.487233694330422,7.39309176240778,1.47874916109589,0.152640426264915,0.949492491176972,-4.56363284650052
"1443703_at",-0.684668949746746,5.44432401247544,-1.47786170351667,0.152876123556253,0.949492491176972,-4.56370117756945
"1451342_at",0.770485606622643,4.50870155925347,1.47734228333878,0.153014211660426,0.949492491176972,-4.56374115840361
"1455555_at",-0.570887865909836,6.28121577752872,-1.47721315718131,0.153048555595624,0.949492491176972,-4.56375109605594
"1456393_at",-0.666670315458129,8.39219148630414,-1.46557957452269,0.156168479645235,0.949492491176972,-4.56464404452388
"1455056_at",-0.561053067348172,3.79563362551366,-1.46297083352702,0.156875109263506,0.949492491176972,-4.56484363212806
"1422804_at",0.445007930873492,6.81876379665632,1.46291409778643,0.156890505921478,0.949492491176972,-4.5648479701707
"1423508_at",-0.515983365804013,5.89897956774989,-1.45882627545641,0.158003054029497,0.949492491176972,-4.56516022930348
"1436750_a_at",-0.527770259351504,6.75266395520656,-1.45861280355281,0.158061327358167,0.949492491176972,-4.56517651976224
"1424916_x_at",-0.460462563070759,6.03075173994945,-1.45779438102015,0.158284900160258,0.949492491176972,-4.56523896030505
"1428779_at",-0.46857921950507,7.05554300658408,-1.45721099289735,0.158444423062469,0.949492491176972,-4.56528345476802
"1433657_at",-0.752688652496728,8.92369967811774,-1.45172259060502,0.159951539748137,0.949492491176972,-4.56570146140423
"1444546_at",0.582577684357866,7.48853677974895,1.45114038558421,0.160112088746104,0.949492491176972,-4.56574574064523
"1417277_at",0.456128391485773,7.06664637197992,1.44872805142348,0.160778698128024,0.949492491176972,-4.56592908108406
"1429808_at",0.480669933590919,6.41911005297593,1.44864786544378,0.160800894532316,0.949492491176972,-4.56593517177143
"1424654_at",0.801161484992588,7.51574753299276,1.44811016539417,0.160949799845649,0.949492491176972,-4.56597600795705
"1429222_at",-0.548053954453576,4.33809250699476,-1.44534448768818,0.161717453428386,0.949492491176972,-4.56618588772677
