"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1456071_a_at",-10.9682351286848,10.5276997549205,-18.6457096726656,1.78660785605081e-15,1.84953840810921e-13,22.3539272268604
"1415983_at",-12.6656702706087,11.623528442655,-18.6398304082409,1.798951122937e-15,1.84953840810921e-13,22.3493129006107
"1452716_at",-12.1127795200722,12.6079861027641,-18.621781451033,1.83740137608489e-15,1.84953840810921e-13,22.3351331962758
"1429139_at",-10.9033373849071,10.0500229603723,-18.6182479994322,1.8450283388365e-15,1.84953840810921e-13,22.3323547512263
"1426083_a_at",-11.2705404925577,12.1275637076337,-18.5532090649718,1.99145445665843e-15,1.95292414217091e-13,22.281067578707
"1449127_at",-11.7309614682322,11.0363397732999,-18.4919060421126,2.14055419431189e-15,2.0544765894768e-13,22.2324728917056
"1438118_x_at",-11.5819727294033,10.7051280587839,-18.4580558963826,2.22781621784061e-15,2.06286226020527e-13,22.2055340271365
"1455790_at",-11.136137221436,11.9839914835453,-18.4263059157643,2.31302996051783e-15,2.06286226020527e-13,22.1801977202213
"AFFX-GapdhMur/M32599_3_at",-13.0183620337354,12.1793719905471,-18.4214305987549,2.3264121218354e-15,2.06286226020527e-13,22.1763013318289
"1439389_s_at",-11.3928026543285,10.4105888758202,-18.419327540755,2.33220960475435e-15,2.06286226020527e-13,22.1746200661826
"1437287_at",-11.6092568312382,11.6430383642432,-18.3935974683645,2.40436870052511e-15,2.08578984770553e-13,22.1540266852838
"1418989_at",-11.1139570865269,11.7366743428958,-18.3613750297542,2.49802405533416e-15,2.10065993352346e-13,22.1281749597419
"1422817_at",-11.3439211073376,10.2571713890317,-18.3233197390743,2.61354012230416e-15,2.10065993352346e-13,22.0975543819947
"1423414_at",-11.2646805406273,10.1931651928162,-18.3104500575682,2.6538517998235e-15,2.10065993352346e-13,22.0871770776452
"1416546_a_at",-10.73958805739,11.8609671163984,-18.3007052151712,2.68480551567762e-15,2.10065993352346e-13,22.079312061796
"1425548_a_at",-11.6256992990651,10.5963158311863,-18.2872231180873,2.72825081817769e-15,2.10065993352346e-13,22.0684202180492
